EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2020,WS2030,WS2040,WS2050,WS2060,WS2070
788,745,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,TEXOMA LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,153,167,178,192,297,390
788,745,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,TEXOMA LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,15,16,17,18,19,20
789,290,FORT BELKNAPP WSC,MUNICIPAL,G,STEPHENS,Y,GRAHAM/EDDLEMAN LAKE/RESERVOIR,6,6,5,5,5,5
789,290,FORT BELKNAPP WSC,MUNICIPAL,G,THROCKMORTON,Y,GRAHAM/EDDLEMAN LAKE/RESERVOIR,19,18,18,18,17,16
789,290,FORT BELKNAPP WSC,MUNICIPAL,G,YOUNG,Y,GRAHAM/EDDLEMAN LAKE/RESERVOIR,394,395,396,396,397,398
794,309,FORT BEND COUNTY MUD #23,MUNICIPAL,H,FORT BEND,N,GULF COAST AQUIFER | FORT BEND,897,688,631,592,561,534
795,169,FORT BEND COUNTY MUD #25,MUNICIPAL,H,FORT BEND,N,DIRECT REUSE,405,405,405,405,405,405
795,309,FORT BEND COUNTY MUD #25,MUNICIPAL,H,FORT BEND,N,GULF COAST AQUIFER | FORT BEND,577,347,314,292,276,262
803,375,FORT BLISS,MUNICIPAL,E,EL PASO,N,HUECO-MESILLA BOLSON AQUIFER | EL PASO,1750,1750,1750,1750,1750,1750
804,239,FORT CLARK SPRINGS MUD,MUNICIPAL,J,KINNEY,N,EDWARDS-TRINITY-PLATEAU AQUIFER | KINNEY,1371,1371,1371,1371,1371,1371
805,379,FORT DAVIS,MUNICIPAL,E,JEFF DAVIS,N,IGNEOUS AQUIFER | JEFF DAVIS,343,343,343,343,343,343
807,655,FORT HOOD,MUNICIPAL,G,BELL,Y,BRAZOS RUN-OF-RIVER,5732,5479,5290,5102,4913,4725
807,655,FORT HOOD,MUNICIPAL,G,CORYELL,Y,BRAZOS RUN-OF-RIVER,5324,5209,5030,4850,4671,4491
808,246,FORT STOCKTON,MUNICIPAL,F,PECOS,N,EDWARDS-TRINITY-PLATEAU AQUIFER | PECOS,4910,5230,5548,5853,6138,6398
809,315,FOUNTAINVIEW SUBDIVISION,MUNICIPAL,H,HARRIS,N,GULF COAST AQUIFER | HARRIS,74,44,29,28,27,26
812,117,FRANKLIN,MUNICIPAL,G,ROBERTSON,N,CARRIZO-WILCOX AQUIFER | ROBERTSON,628,628,628,628,628,628
813,71,FRANKSTON,MUNICIPAL,I,ANDERSON,Y,CARRIZO-WILCOX AQUIFER | ANDERSON,388,382,378,372,366,360
813,71,FRANKSTON,MUNICIPAL,I,HENDERSON,Y,CARRIZO-WILCOX AQUIFER | ANDERSON,15,21,25,31,37,43
814,263,FREDERICKSBURG,MUNICIPAL,K,GILLESPIE,N,ELLENBURGER-SAN SABA AQUIFER | GILLESPIE,3174,3174,3174,3174,3174,3174
814,361,FREDERICKSBURG,MUNICIPAL,K,GILLESPIE,N,HICKORY AQUIFER | GILLESPIE,662,662,662,662,662,662
815,169,FREEPORT,MUNICIPAL,H,BRAZORIA,N,DIRECT REUSE,3,3,3,3,3,3
815,299,FREEPORT,MUNICIPAL,H,BRAZORIA,N,GULF COAST AQUIFER | BRAZORIA,7,7,7,7,7,1
