EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,N,0,0,0,0,0,0
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,0,0,0,0,0,0
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,1349,1390,1410,1474,1527,1576
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,337,1669,3289,5553,7764,10145
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,12771,12960,12938,12865,12852,12851
144,TYLER,MUNICIPAL,D,SMITH,Y,0,0,0,0,0,0
144,TYLER,MUNICIPAL,I,SMITH,Y,0,0,0,0,0,0
152,WACO,MUNICIPAL,G,MCLENNAN,N,0,0,0,0,0,1348
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,0,0,0,0,0,0
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,0,0,0,0,0,0
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,0,0,723,907,2917,6082
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,2710,2840,3116,5131,11663,19801
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,96,160,216,276,450,678
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,92,194,322,497,901,1582
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,459,769,804,839,856,873
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,11795,24572,34708,38871,40601,42266
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,6683,7074,7427,7797,8275,8746
162,439 WSC,MUNICIPAL,G,BELL,N,0,0,0,0,46,94
163,ABERNATHY,MUNICIPAL,O,HALE,Y,76,48,51,44,51,49
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,26,18,21,19,24,25
164,ABLES SPRINGS WSC,MUNICIPAL,C,KAUFMAN,Y,25,94,145,201,273,365
164,ABLES SPRINGS WSC,MUNICIPAL,D,HUNT,Y,4,22,38,64,103,170
164,ABLES SPRINGS WSC,MUNICIPAL,D,VAN ZANDT,Y,1,0,2,2,3,2
